song,artist,reentry_count,momentum_score,retention_days,fandom_score
Kitsch,IVE,2,1.5,2.0,1.85
Love Me Like This,NMIXX,2,1.0,2.0,1.7000000000000002
Mars,D.O.,1,4.0,,1.6
I will come to you,Jin,1,4.0,,1.6
bye,Ariana Grande,1,4.0,,1.6
Bite Me,ENHYPEN,1,4.0,,1.6
WAY 4 LUV,PLAVE,1,4.0,,1.6
Super Lady,(G)I-DLE,1,3.0,,1.2999999999999998
Dare to Love (feat. BIG Naughty),B.I,1,3.0,,1.2999999999999998
Steady,NCT WISH,1,3.0,,1.2999999999999998
Trust in me,Lim Young Woong,1,3.0,,1.2999999999999998
Big Dawgs,Hanumankind & Kalmi,1,3.0,,1.2999999999999998
Cool With You,NewJeans,1,3.0,,1.2999999999999998
Pleasure Shop,KEY,1,3.0,,1.2999999999999998
Love You With All My Heart,Crush,1,3.0,,1.2999999999999998
Click Like (Prod. Crush) (Feat. Paul Blanco),Various Artists,1,3.0,,1.2999999999999998
Why?,PLAVE,1,2.0,,1.0
But Sometimes,BOYNEXTDOOR,1,2.0,,1.0
Impossible,RIIZE,1,2.0,,1.0
Take Two,BTS,1,2.0,,1.0
Slow Dancing (Piano Ver.),V,1,2.0,,1.0
Stay Alive (Prod. SUGA of BTS),Jung Kook,1,2.0,,1.0
Nice Guy,BOYNEXTDOOR,1,2.0,,1.0
MAESTRO,SEVENTEEN,1,2.0,,1.0
Fighting (Feat. Lee Young Ji),BSS,1,2.0,,1.0
ANTIFRAGILE,LE SSERAFIM,1,2.0,,1.0
Cupid,FIFTY FIFTY,1,1.0,,0.7
Baggy Jeans,NCT,1,1.0,,0.7
greedy,Tate McRae,1,1.0,,0.7
NIGHT DANCER - BIG Naughty Remix,imase & BIG Naughty,1,1.0,,0.7
euphoria,Kendrick Lamar,1,1.0,,0.7
Fact Check,NCT 127,1,1.0,,0.7
SHEESH,BABYMONSTER,1,1.0,,0.7
3D (feat. Jack Harlow) (Instrumental),Jung Kook & Jack Harlow,1,1.0,,0.7
I Had Some Help (Feat. Morgan Wallen),Post Malone & Morgan Wallen,1,1.0,,0.7
Love Lee,AKMU,1,1.0,,0.7
Girls Never Die,tripleS,1,1.0,,0.7
Tick-Tack,ILLIT,1,1.0,,0.7
Thirsty,aespa,1,1.0,,0.7
